date_time,om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,mt,convective_day,wfo
2025-01-01 05:50:00,312262,2024,12,31,2024-12-31,23:50:00,3,CT,9,0,51.0,0,0,0,0,41.2652,-72.3815,41.2652,-72.3815,0,0,0,0,0,7,0,0,0,MG,2024-12-31,OKX
2025-01-05 16:41:00,312263,2025,1,5,2025-01-05,10:41:00,3,AR,5,0,52.0,0,0,0,0,33.7,-93.53,33.7,-93.53,0,0,0,0,0,57,0,0,0,EG,2025-01-05,SHV
2025-01-05 17:20:00,312264,2025,1,5,2025-01-05,11:20:00,3,TX,48,0,52.0,0,0,0,0,32.54,-94.41,32.54,-94.41,0,0,0,0,0,203,0,0,0,EG,2025-01-05,SHV
2025-01-05 18:05:00,312265,2025,1,5,2025-01-05,12:05:00,3,TX,48,0,52.0,0,0,0,0,32.2,-94.32,32.2,-94.32,0,0,0,0,0,365,0,0,0,EG,2025-01-05,SHV
2025-01-05 18:10:00,312266,2025,1,5,2025-01-05,12:10:00,3,LA,22,0,52.0,0,0,0,0,32.53,-93.9,32.53,-93.9,0,0,0,0,0,17,0,0,0,EG,2025-01-05,SHV
2025-01-05 18:40:00,312267,2025,1,5,2025-01-05,12:40:00,3,LA,22,0,52.0,0,0,0,0,32.82,-93.42,32.82,-93.42,0,0,0,0,0,119,0,0,0,EG,2025-01-05,SHV
2025-01-05 18:55:00,312268,2025,1,5,2025-01-05,12:55:00,3,LA,22,0,52.0,0,0,0,0,32.53,-93.41,32.53,-93.41,0,0,0,0,0,119,0,0,0,EG,2025-01-05,SHV
2025-01-05 19:01:00,312269,2025,1,5,2025-01-05,13:01:00,3,LA,22,0,52.0,0,0,0,0,32.51,-92.3,32.51,-92.3,0,0,0,0,0,73,0,0,0,EG,2025-01-05,SHV
2025-01-05 19:15:00,312270,2025,1,5,2025-01-05,13:15:00,3,LA,22,0,52.0,0,0,0,0,32.33,-93.28,32.33,-93.28,0,0,0,0,0,13,0,0,0,EG,2025-01-05,SHV
2025-01-05 19:58:00,312271,2025,1,5,2025-01-05,13:58:00,3,LA,22,0,52.0,0,0,0,0,32.4973,-92.8057,32.4973,-92.8057,0,0,0,0,0,61,0,0,0,EG,2025-01-05,SHV
2025-01-05 20:25:00,312272,2025,1,5,2025-01-05,14:25:00,3,LA,22,0,52.0,0,0,0,0,32.9,-92.15,32.9,-92.15,0,0,0,0,0,111,0,0,0,EG,2025-01-05,SHV
2025-01-05 21:05:00,312273,2025,1,5,2025-01-05,15:05:00,3,LA,22,0,52.0,0,0,0,0,32.65,-91.94,32.65,-91.94,0,0,0,0,0,73,0,0,0,EG,2025-01-05,JAN
2025-01-05 21:10:00,312274,2025,1,5,2025-01-05,15:10:00,3,LA,22,0,52.0,0,0,10000,0,32.7,-91.93,32.7,-91.93,0,0,0,0,0,67,0,0,0,EG,2025-01-05,JAN
2025-01-05 21:31:00,312275,2025,1,5,2025-01-05,15:31:00,3,MS,28,0,56.0,0,0,5000,0,34.63,-90.26,34.63,-90.26,0,0,0,0,0,143,0,0,0,EG,2025-01-05,MEG
2025-01-05 21:31:00,312276,2025,1,5,2025-01-05,15:31:00,3,MS,28,0,56.0,0,0,0,1000,34.63,-90.25,34.63,-90.25,0,0,0,0,0,143,0,0,0,EG,2025-01-05,MEG
2025-01-05 21:34:00,312277,2025,1,5,2025-01-05,15:34:00,3,MS,28,0,56.0,0,0,0,500,34.61,-90.19,34.61,-90.19,0,0,0,0,0,137,0,0,0,EG,2025-01-05,MEG
2025-01-05 22:41:00,312278,2025,1,5,2025-01-05,16:41:00,3,LA,22,0,50.0,0,0,2000,0,31.39,-92.42,31.39,-92.42,0,0,0,0,0,79,0,0,0,EG,2025-01-05,LCH
2025-01-05 22:50:00,312279,2025,1,5,2025-01-05,16:50:00,3,MS,28,0,56.0,0,0,5000,0,32.97,-90.58,32.97,-90.58,0,0,0,0,0,53,0,0,0,EG,2025-01-05,JAN
2025-01-05 23:20:00,312280,2025,1,5,2025-01-05,17:20:00,3,MS,28,0,50.0,0,0,35000,0,33.5,-89.97,33.5,-89.97,0,0,0,0,0,15,0,0,0,EG,2025-01-05,JAN
2025-01-05 23:30:00,312281,2025,1,5,2025-01-05,17:30:00,3,LA,22,0,50.0,0,0,1000,0,30.3,-93.21,30.3,-93.21,0,0,0,0,0,19,0,0,0,EG,2025-01-05,LCH
2025-01-05 23:35:00,312282,2025,1,5,2025-01-05,17:35:00,3,LA,22,0,50.0,0,0,0,0,31.11,-92.24,31.11,-92.24,0,0,0,0,0,79,0,0,0,EG,2025-01-05,LCH
2025-01-05 23:44:00,312283,2025,1,5,2025-01-05,17:44:00,3,MS,28,0,52.0,0,0,5000,0,33.56,-89.66,33.56,-89.66,0,0,0,0,0,97,0,0,0,EG,2025-01-05,JAN
2025-01-05 23:56:00,312284,2025,1,5,2025-01-05,17:56:00,3,MS,28,0,50.0,0,0,3000,0,33.58,-89.55,33.58,-89.55,0,0,0,0,0,97,0,0,0,EG,2025-01-05,JAN
2025-01-06 00:05:00,312285,2025,1,5,2025-01-05,18:05:00,3,MS,28,0,50.0,0,0,2000,0,33.68,-89.42,33.68,-89.42,0,0,0,0,0,155,0,0,0,EG,2025-01-05,MEG
2025-01-06 00:30:00,312286,2025,1,5,2025-01-05,18:30:00,3,MS,28,0,52.0,0,0,5000,0,32.75,-89.54,32.75,-89.54,0,0,0,0,0,79,0,0,0,EG,2025-01-05,JAN
2025-01-06 00:48:00,312287,2025,1,5,2025-01-05,18:48:00,3,MS,28,0,50.0,0,0,7000,0,32.86,-89.67,32.86,-89.67,0,0,0,0,0,79,0,0,0,EG,2025-01-05,JAN
2025-01-06 01:10:00,312288,2025,1,5,2025-01-05,19:10:00,3,MS,28,0,53.0,0,0,10000,0,32.3,-89.95,32.3,-89.95,0,0,0,0,0,121,0,0,0,EG,2025-01-05,JAN
2025-01-06 01:11:00,312289,2025,1,5,2025-01-05,19:11:00,3,MS,28,0,70.0,0,0,20000,0,33.8839,-88.5959,33.8839,-88.5959,0,0,0,0,0,95,0,0,0,EG,2025-01-05,MEG
2025-01-06 01:20:00,312290,2025,1,5,2025-01-05,19:20:00,3,MS,28,0,52.0,0,0,1000,500,34.05,-88.41,34.05,-88.41,0,0,0,0,0,95,0,0,0,EG,2025-01-05,MEG
2025-01-06 01:20:00,312291,2025,1,5,2025-01-05,19:20:00,3,MS,28,0,50.0,0,0,50000,0,32.47,-90.05,32.47,-90.05,0,0,0,0,0,89,0,0,0,EG,2025-01-05,JAN
2025-01-06 01:35:00,312292,2025,1,5,2025-01-05,19:35:00,3,AL,1,0,43.0,0,0,500,0,34.77,-87.96,34.77,-87.96,0,0,0,0,0,33,0,0,0,EG,2025-01-05,HUN
2025-01-06 01:39:00,312293,2025,1,5,2025-01-05,19:39:00,3,AL,1,0,52.0,0,0,0,0,34.34,-88.15,34.34,-88.15,0,0,0,0,0,59,0,0,0,EG,2025-01-05,HUN
2025-01-06 02:05:00,312294,2025,1,5,2025-01-05,20:05:00,3,AL,1,0,43.0,0,0,500,0,34.77,-87.69,34.77,-87.69,0,0,0,0,0,33,0,0,0,EG,2025-01-05,HUN
2025-01-06 02:38:00,312295,2025,1,5,2025-01-05,20:38:00,3,MS,28,0,39.0,0,0,1000,0,32.36,-89.38,32.36,-89.38,0,0,0,0,0,123,0,0,0,EG,2025-01-05,JAN
2025-01-06 02:45:00,312296,2025,1,5,2025-01-05,20:45:00,3,MS,28,0,48.0,0,0,5000,0,31.7433,-89.7923,31.7433,-89.7923,0,0,0,0,0,65,0,0,0,EG,2025-01-05,JAN
